"Z" "X" "Y" "Switzerland" "Basis-1" "Basis-2" "Basis-3" "Basis-4" "Basis-5" "Basis-6" "Basis-7" "Basis-8" "Basis-9" "Basis-10" "Basis-11" "Basis-12" "Basis-13" "Basis-14" "Basis-15" "Basis-16" "Basis-17" "Basis-18" "Basis-19" "Basis-20"
258.7388 511661 294684 0 -1.3518173950423 -1.78801870796983 -1.81552620493012 0.23580476442013 -1.1940656182379 0.618278322097957 -0.184389378362864 -0.940417610132581 -0.305127556239741 0.0581310581248063 0.273478486590005 0.459767463779187 1.67125631817386 0.249469275487452 0.406976223407364 0.421624737594042 0.0957468382063372 0.143122467568115 1.82695858252133 0.0853398700565848
266.68307 514161 294684 0 -1.23027767327862 -1.77083066080528 -1.66686860163498 0.255274278082124 -1.1554938260746 0.668097689570769 -0.0702708169762509 -1.00126710296677 -0.182304499248064 -0.0451086656018541 0.240252639395992 0.599256999645026 1.46303599894796 0.329193365286979 0.658823084532224 0.254335122730857 0.112808908191957 0.193651090995329 1.98016073624096 0.0742271800467891
260.92682 516661 294684 0 -1.08172756239694 -1.70249717547501 -1.48403058728655 0.258573240946041 -1.12646365008431 0.69106613259846 0.0358232182070021 -1.06378073491884 -0.0746105330389734 -0.170960242750836 0.19730992963151 0.735722033946117 1.21433309691803 0.446364177464427 0.897224838009698 0.121965277301383 0.115135779496056 0.261835357409964 2.10276243505387 0.0511256086595075
274.75305 519161 294684 0 -0.907007702357011 -1.58115252010003 -1.27447130972463 0.249874607849757 -1.10450546994076 0.694041286077103 0.12678068484957 -1.12737953305673 0.0125701330344156 -0.311998543137461 0.145345834243958 0.865101183723887 0.940712753952003 0.598441192384937 1.1108791698381 0.0238962410875119 0.101616052089457 0.346039629424564 2.18467204440868 0.0124724489363243
285.54443 521661 294684 0 -0.709969696478233 -1.40905950895116 -1.04687232434929 0.233451495440336 -1.08487071002265 0.685277057218564 0.197268888315427 -1.18860560300054 0.0755155992752267 -0.460131948058687 0.0849484842308449 0.983632162748244 0.658573143557571 0.779046842815771 1.29061186198694 -0.0421852501670421 0.071414406105424 0.443852323777247 2.21745855548119 -0.0452591534616269
308.99472 524161 294684 0 -0.497445747293945 -1.19245576386804 -0.810447035889832 0.213316264831247 -1.06131006865518 0.672918100150342 0.244165314372634 -1.2413201357611 0.112707137525312 -0.606604930637016 0.0172324809642495 1.08749475830135 0.383839145026465 0.978628753348235 1.43002410774448 -0.0795642431303779 0.0242135893359375 0.551925718949266 2.19495736636142 -0.124715726157479
373.42719 526661 294684 0 -0.278888184275636 -0.941013783978805 -0.574260381768886 0.192974238570195 -1.02705341939206 0.66372002393224 0.266767652319201 -1.27749367850259 0.125267371826725 -0.741970820671013 -0.055544116112815 1.17250707947874 0.130744669193063 1.18545070370706 1.52586605831802 -0.0919049366558241 -0.0395028463136509 0.665804129340528 2.11375877746559 -0.226840156497763
446.06281 529161 294684 0 -0.065700027308069 -0.666984916259976 -0.346620790745345 0.175300533065272 -0.975862666899916 0.662212612127351 0.266763674037583 -1.28846795661348 0.117183977996375 -0.856151196069068 -0.129534753043262 1.23401701966824 -0.0891868918883426 1.38678816330438 1.57809779548509 -0.0828463626052345 -0.118194053364573 0.779835860472695 1.97354822931488 -0.350282016004442
446.06281 531661 294684 0 0.129689477970362 -0.384129179878471 -0.134590090442042 0.162524757932134 -0.90302055646304 0.670398076054255 0.247967985579842 -1.26647104489407 0.0952148873789285 -0.938694042502712 -0.199159380855186 1.26708317118799 -0.267869746455012 1.57018185971928 1.58963403110097 -0.0557936572295687 -0.209100715960917 0.887261349908281 1.77727331581993 -0.491210382655363
470.26117 534161 294684 0 0.294922306102292 -0.10655099220789 0.0563622622402189 0.156289922437794 -0.80612783832493 0.687942406580999 0.215858033689795 -1.20610965113266 0.0684073650736402 -0.979306593217705 -0.257333146087049 1.26696369697909 -0.401021812191697 1.72459975006669 1.56580529811332 -0.0138694679764559 -0.308237054388647 0.980542985226418 1.53111979234291 -0.643609466742582
